mz	time	N1	N2	N3	N4	N5	N6	SI1	SI2	SI3	SI4	SI5	SI6
92.50375665	154.5031584	25.11819957	26.5343624	25.42170434	25.35455936	24.52760514	25.49258683	23.944272	25.40463705	24.16483628	24.68432061	24.47150002	24.77042161
92.52256584	212.9308465	26.63226448	27.35046976	25.93826649	26.14402398	25.53943699	26.75429232	25.66278046	26.00467023	25.54421205	25.02542512	25.87584703	25.66126051
92.98123241	108.6352461	24.25260265	24.95058591	24.1206357	23.46985771	23.65005737	24.66283412	23.49050239	23.51830412	23.24049454	22.83740575	23.46527047	23.35093492
93.04510528	153.8621014	22.70074126	23.94797221	22.67254057	22.12460605	23.09903984	24.03793138	22.32175139	23.18633733	22.76245264	22.10973339	22.88751897	22.78199603
93.07016967	270.0603099	26.35226741	27.04208719	25.58678309	25.63802991	25.52360713	26.13650668	25.12414814	25.95478491	24.91965538	24.79699589	25.551835	25.15694886
93.76552477	155.5808252	24.67196077	25.36497489	23.57774045	23.84957257	22.39014534	18.74011545	22.96087252	24.03866428	22.55853049	21.94314299	23.8449778	21.75627789
93.92781676	126.8579574	18.07439429	0	21.00257818	0	19.46956659	22.8422473	20.39492659	21.65068168	21.28205365	21.56903192	21.28120727	23.41523213
94.0453824	148.4647431	29.3055948	30.67877085	29.07615368	28.51347362	29.43473771	30.32168971	28.70460581	29.5657425	29.10154615	28.48981458	28.97748038	29.30128838
94.06539254	134.6285395	26.20333992	24.9068262	23.48124787	25.43093505	26.70955557	25.14957895	25.81496587	23.48236816	26.31885406	22.58707155	26.03028506	25.94014448
94.26674731	148.3962141	22.96758575	23.89527438	22.60697406	23.04611586	21.99617995	22.9381837	23.72647325	23.14649565	21.49885295	21.89267533	21.94630047	21.90473323
94.54586001	149.3533202	26.45010399	27.90125158	26.24663169	25.70386335	26.92088936	27.76427849	26.14051312	27.00494173	26.66176325	26.05913702	26.4287162	26.89952419
95.0441601	149.1437194	26.34299364	27.51398028	26.10834012	25.65722008	26.53340973	27.42229939	25.83779875	26.57898687	26.24437662	25.67560052	25.97149077	26.4276113
95.04943326	278.5358116	26.17023836	26.9755456	25.43484555	25.29964318	24.96377265	26.11060917	24.68389356	25.84960353	24.34795811	24.60819836	25.08900463	24.71603579
95.06066655	161.4838118	25.53280924	25.96283561	25.59750631	24.22663701	24.80936398	25.661837	24.88520551	25.72095206	24.87777414	24.37525911	24.73007767	25.00717424
95.07119832	161.0444481	20.86795206	23.43486331	23.05316248	22.01144015	18.99841064	19.51154028	22.35392202	21.98706417	19.11944339	21.70855699	0	21.22389453
95.08579728	239.6973474	26.71723044	28.78469644	25.98687759	25.82425207	27.20722731	27.03461394	26.2298006	26.25924235	24.62300279	25.75524791	26.53890574	24.82815711
95.33664358	194.1844909	26.2898448	27.06357922	25.83486155	25.74652133	25.75957555	26.23861042	25.4661758	25.87939103	25.33992731	24.85791046	25.56844011	25.65229547
95.97372435	189.642397	26.20185958	26.28976275	25.10179884	25.69746733	25.68819105	25.76207737	25.77634575	25.40925927	25.52537756	24.16983707	25.65055593	25.4921506
96.51508885	163.4716587	27.7152467	28.44989277	27.20578401	27.35061918	27.30095981	27.64180928	27.03673761	27.24078026	26.7130534	26.20694961	27.3315357	27.07572875
96.9043907	75.33062131	0	20.89145913	0	0	18.19826812	0	17.08907111	18.32187203	19.52082677	17.60802469	19.45034687	19.15103378
96.92208896	75.05725131	29.06818029	29.99008353	28.85342763	28.81071905	28.67246548	29.15412563	28.38731093	29.06509453	28.63179592	28.00176609	28.827662	28.74110399
96.96131125	179.2245467	27.69265701	28.52467505	27.30001	27.19545081	27.19289822	27.72344751	26.87540778	27.28394413	26.67119285	26.21034711	27.28247158	27.03253779
96.97218282	156.3504691	25.17203839	25.68081455	22.12721459	24.33626963	23.73342979	24.8015755	24.10377609	23.00720349	24.03502503	21.42173642	24.84599511	24.6802154
97.01520794	195.4299822	23.55820897	26.44952328	23.87345415	24.50240601	24.22160326	22.90073857	22.87401673	23.42587509	23.21234009	23.21623977	23.11434345	24.24047872
97.02871145	265.4644859	25.35072903	25.84973491	24.17701986	24.32684308	24.40909033	24.69967983	24.55140364	25.29713651	23.32657477	23.7930399	24.28673428	24.1181348
97.03992203	38.68220497	18.58201435	18.38644696	20.03040933	18.0627712	19.89620893	20.13988017	20.6750401	17.98700201	19.57019497	16.71014248	18.31429814	19.18359255
97.03995939	274.0770946	23.92542925	24.31041029	23.22319009	22.88641933	23.09391169	23.42506929	23.22511705	23.38277538	22.20528571	22.03407141	22.65062042	23.03824669
97.06511945	246.8603913	26.85897848	26.75029732	25.37415536	24.70615423	25.90598074	26.26168291	25.77901654	25.97896733	25.47332942	26.48765413	26.54417637	25.86428671
97.07633693	110.532382	23.35588575	24.55139457	23.50143436	22.55925341	23.98982228	24.07697979	23.45897775	23.85578077	24.07494478	22.49785569	24.90035547	24.16447047
97.10151392	259.7529643	26.53834273	26.77011919	25.56349205	25.304717	25.46272068	26.40724738	25.14249773	26.23392902	24.7928878	24.45652618	25.5971381	25.26596736
97.51467486	154.4027958	33.18861915	34.12350988	32.5736434	32.45013056	32.60624145	33.27959076	32.11309991	32.65316588	31.8128898	31.34855366	32.56511423	32.26272593
97.93272968	182.9200865	25.37438153	26.39837935	25.50773884	25.44207702	25.75859226	25.30614085	25.38103717	25.5569007	25.26172171	24.16869102	25.71546684	25.16100368
97.9690932	159.8084543	30.59595445	31.4602644	30.08750342	30.06514131	30.24813923	30.55881626	29.86603864	30.07768231	29.61463534	28.95237831	30.19939507	29.95815032
97.9916376	171.7145329	28.49681624	29.35645317	28.08013351	27.99793321	27.69292067	28.58816427	27.39296059	28.09265156	27.16673692	26.89565449	27.78303073	27.42327594
98.00838699	193.8782878	24.43192921	26.05139656	24.29329935	23.84603688	24.31269157	24.74541009	24.31512008	22.79524565	21.72130984	23.84127106	24.13605134	23.99809629
98.01389319	141.6452038	31.68155606	32.79564547	31.17037503	31.12502223	31.13572217	31.7389001	30.7632782	31.35998128	30.75251958	29.97841795	31.21360576	30.89391227
98.0163297	161.2463937	28.62207542	27.80265259	28.15314991	28.05304799	28.10870009	28.0204533	27.74836159	26.57987152	25.89164726	25.40191212	28.08843605	27.20817009
98.05796418	114.2000897	25.38560139	26.25744653	26.04845079	26.30108238	26.63969189	25.82569346	24.1224508	24.74134851	23.52646761	24.15132443	24.2645914	28.85324457
98.06039077	42.3364665	23.38083171	25.94667332	24.33268116	24.27138657	24.79098552	24.56553537	23.8287154	23.61554683	23.24265909	23.02185614	23.51046989	21.5652498
98.09675878	232.4157073	25.16793252	26.00655116	24.26041218	24.23650278	22.76666119	25.99765821	22.9698438	24.06987729	22.22732297	23.51452833	22.48837594	23.20274027
98.49414695	168.6297919	28.55935779	27.99881871	22.62776797	0	26.40248959	28.72956509	25.99380147	28.13604122	26.27548938	26.31082862	28.38322264	26.07683165
